NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
NAME,1.4_01,1.5_01,1.4_01,1.5_02,
Achievement,lk,nc,hx,ic,*
AchievementList,dp,ef,cn,cq,*
AchievementMap,a,b,b,b,*
AxisAlignedBB,dq,eg,cm,cp,Axis aligned bounding box
BiomeGenBase,ig,jj,fx,gb,These are biomes not mob spawners (has info on the type of mobs to see in the biome though)
BiomeGenDesert,er,fj,di,dm,*
BiomeGenForest,nu,qb,ji,jp,*
BiomeGenHell,p,s,k,l,*
BiomeGenRainforest,ue,wz,ob,ok,*
BiomeGenSwamp,pq,sb,kt,lb,*
BiomeGenTaiga,e,g,e,f,*
Block,ra,to,lq,ly,Base class and manager for block types
BlockBed,rj,tx,ly,mg,*
BlockBookshelf,ft,gq,ec,eg,*
BlockBreakable,hv,iw,fn,fr,Base class for glass and ice (not used directly)
BlockButton,lq,nm,ic,ii,*
BlockCactus,lx,nt,if,il,*
BlockCake,qt,th,lo,lw,*
BlockChest,d,e,d,e,*
BlockClay,oo,qw,jz,kh,*
BlockCloth,dg,dv,cf,ci,*
BlockContainer,om,qu,jw,ke,Base class for block that can have content (not used directly)
BlockCrops,ku,mm,hn,hs,*
BlockDetectorRail,*,oi,*,it,*
BlockDirt,ly,nv,ig,im,*
BlockDispenser,tl,wg,no,nw,*
BlockDoor,iz,ki,gh,gl,Block used for wooden door and iron door
BlockFarmland,ro,ue,md,ml,*
BlockFence,ia,jc,fs,fw,*
BlockFire,uk,xg,of,oo,*
BlockFlower,sd,uu,mm,mu,*
BlockFlowing,lt,np,ie,ik,Block used for flowing water and lava
BlockFluid,og,qo,jr,jz,Base class for fluids (not used directly)
BlockFurnace,po,ry,ks,la,*
BlockGlass,ei,fa,db,df,*
BlockGlowStone,jr,lc,gw,ha,*
BlockGrass,so,vh,mw,nf,*
BlockGravel,kp,mi,hk,hp,*
BlockIce,kv,mo,ho,ht,*
BlockJukeBox,el,fd,df,dj,*
BlockLadder,cu,dh,bx,ca,*
BlockLeaves,aw,be,am,am,*
BlockLeavesBase,lb,mv,hr,hw,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
BlockLever,tm,wh,np,nv,*
BlockLockedChest,iq,jx,ga,ge,*
BlockLog,rl,tz,lz,mh,*
BlockMobSpawner,ci,cv,bp,bs,*
BlockMushroom,pw,sh,kx,lf,*
BlockNetherrack,uc,wy,ny,oi,*
BlockNote,mt,ou,iq,ix,*
BlockObsidian,dz,er,cv,cz,*
BlockOre,kk,lx,hg,hl,"Block used for gold, iron, diamond and coal"
BlockOreStorage,h,k,h,i,"Block used for gold, diamond and iron blocks"
BlockPortal,ac,ah,x,y,*
BlockPressurePlate,bd,bo,at,aw,*
BlockPumpkin,ea,es,cu,cy,*
BlockRail,mg,od,ij,ip,*
BlockRedstoneOre,ba,bl,aq,at,*
BlockRedstoneRepeater,sn,vg,mv,ne,*
BlockRedstoneTorch,cg,ct,bo,br,*
BlockRedstoneWire,pa,ri,ki,kp,*
BlockReed,oa,qh,jm,jt,*
BlockSand,ff,fz,dt,dx,*
BlockSandStone,nw,qd,jk,jq,*
BlockSapling,fv,gs,ee,ei,*
BlockSign,qr,tf,lm,lu,Block used for standing signs and wall signs
BlockSnow,hw,ix,fo,fs,*
BlockSnowBlock,w,aa,n,o,*
BlockSoulSand,ll,ne,hz,ie,*
BlockSponge,tc,vw,nh,nq,*
BlockStairs,pg,ro,kn,kv,*
BlockStationary,li,nb,hw,ib,Block used for stationary water and lava
BlockStep,um,xi,oi,or,Block used for half step and double step
BlockStone,do,ee,ck,cn,*
BlockTNT,aa,af,r,s,*
BlockTorch,rp,uf,me,mm,*
BlockWeb,*,qm,*,jy,*
BlockWorkbench,eg,ey,da,de,*
CanvasCrashReport,su,vm,*,*,*
CanvasIsomPreview,ap,ax,*,*,Canvas used for drawing the isometric preview
CanvasMinecraftApplet,n,q,*,*,*
CanvasMojangLogo,ev,fn,*,*,*
ChatAllowedCharacters,em,fe,dg,dk,Reader for the font.txt file which defines legal characters for chat
ChatLine,pj,rs,*,*,*
Chunk,jg,kq,gn,gr,Chunk of blocks in the world (16x16x128 blocks)
ChunkBlockMap,rn,ub,mc,mk,*
ChunkCache,dv,em,cr,cu,Caches a bunch of chunks of the world
ChunkCoordIntPair,uq,xo,ol,ov,"Pair of integers used as index of chunk (x,z)."
ChunkCoordinates,ay,bk,ao,aq,*
ChunkFile,dc,dq,cc,cf,*
ChunkFilePattern,oj,qr,js,ka,*
ChunkFolderPattern,br,ce,bd,bg,*
ChunkLoader,pz,sk,kz,lh,Implementation of chunk loader
ChunkPosition,sh,uy,mp,mx,*
ChunkProviderClient,rb,tp,*,*,Chunk provider which loads chunks from the server
ChunkProviderGenerate,tz,wv,nw,of,Chunk provider which generates new chunks (used by other chunk providers)
ChunkProviderHell,nh,po,iz,jg,*
ChunkProviderLoadOrGenerate,iu,kb,gb,gf,Chunk provider which either loads chunks or generates them with ChunkProviderGenerate
ChunkProviderServer,*,*,gk,gn,Chunk provider which manages chunks on the server for all clients
