=== Minecraft Coder Pack 2.12 ===
*** Compiling Minecraft
[parsing started RegularFileObject[sources/minecraft/net/minecraft/client/MinecraftApplet.java]]
[parsing completed 121ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/client/Minecraft.java]]
[parsing completed 55ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/Achievement.java]]
[parsing completed 2ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/AchievementList.java]]
[parsing completed 3ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/AchievementMap.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/AxisAlignedBB.java]]
[parsing completed 7ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenBase.java]]
[parsing completed 4ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenDesert.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenForest.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenHell.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenRainforest.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenSwamp.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BiomeGenTaiga.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockBed.java]]
[parsing completed 4ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockBookshelf.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockBreakable.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockButton.java]]
[parsing completed 11ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockCactus.java]]
[parsing completed 2ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockCake.java]]
[parsing completed 3ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockChest.java]]
[parsing completed 6ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockClay.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockCloth.java]]
[parsing completed 1ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockContainer.java]]
[parsing completed 0ms]
[parsing started RegularFileObject[sources/minecraft/net/minecraft/src/BlockCrops.java]]
[parsing completed 3ms]
